,venue_name,id,created_at,text
0,Barreworks,56b53a7d498ebdd8aa6c1bef,2016-02-06T00:12:45.000Z,"So much fun! If you like dance and yoga, this is the place to be. Be sure to take Johnny's class - he's the best!"
1,Barreworks,5539b562498e615d68e8c64b,2015-04-24T03:15:46.000Z,Great teachers atmosphere and an amazing workout!
2,Glendon Athletic Club,4eb0b49b30f855c20ee53953,2011-11-02T03:10:19.000Z,"Great facility, rarely is ever busy, open to the public, and the student rate ($15/yr) is unbeatable! Not state of the art, but good, reliable equipment and great classes."
3,Glendon Athletic Club,51633aff498e9843672443d0,2013-04-08T21:47:43.000Z,"Looking for training? Hands-down, ask for Kirk. Specializes in stretching, rehabilitation, and strength/cardio conditioning; nice guy to boot!"
4,Ashtanga Yoga Centre of Toronto,500d6433e4b00d76e5cfe2a4,2012-07-23T14:48:19.000Z,"Toronto Veg Card holders save at Ashtanga Yoga: 10% classes (excludes first month) + boutique! To find out how you can save, http://veg.ca/content/view/463/68"
5,Ashtanga Yoga Centre of Toronto,4edfa79df79009df3255bb3e,2011-12-07T17:51:25.000Z,Mysore classes are great. Not intimidating and a great way to work through the series.
6,Ashtanga Yoga Centre of Toronto,4ec83320d3e3e131f3246e77,2011-11-19T22:52:16.000Z,Vikram's classes are great. Intelligent adjustment's
7,Tandem Studios,533178b011d24d9ee4041eaf,2014-03-25T12:38:08.000Z,Great dance classes for kids and adults
8,Daniels Kilgour Estate,51460f4be4b0c10765e0a252,2013-03-17T18:45:31.000Z,"Surprisingly well-stocked machines and weights: Gravatron, leg press, overhead shoulder pull-down, variety of free weights, weighted bars, medicine balls, bosu ball, treadmill, recumbent bike..."
9,Daniels Kilgour Estate,51460fa2e4b03dc13ab5217f,2013-03-17T18:46:58.000Z,"...upright bike, and elliptical. Also there is a small pool, hot tub, and steam room."
10,Gym,5133b363e4b03fa983dc8bf6,2013-03-03T20:32:35.000Z,Peak hours are after work and last thing at night. Treadmills are like gold at this time. Go early or in between.
11,Gym,515db146e4b068af634ab445,2013-04-04T16:58:46.000Z,"Great gym, just everything you need:)"
12,Yoga Tree Midtown,4f302be9e4b07ca31811dc13,2012-02-06T19:37:13.000Z,Try the 30 day unlimited classes for $40...great new studio.
13,Yoga Tree Midtown,51b4d023498e028dcf4d6a92,2013-06-09T18:57:39.000Z,Try the yin class to relax and loose tight hips
14,Yoga Tree Midtown,4f034cce02d580f8f311a88d,2012-01-03T18:45:34.000Z,Try the awesome classes for a month  for $40!
15,Yoga Tree Midtown,51086916e4b032ec22a11171,2013-01-30T00:28:06.000Z,Melting heart
16,North Toronto Memorial Community Centre,53a5f5e411d206d1f6bf83fd,2014-06-21T21:15:16.000Z,Love the outdoor pool!! And it's free :)
17,North Toronto Memorial Community Centre,4d46da553616b60c5ad5fbc2,2011-01-31T15:50:45.000Z,Half court volleyball is ok. You gotta earn your spot playing here since people are territorial.
18,North Toronto Memorial Community Centre,53e25fb8498ec492101e94f0,2014-08-06T17:02:48.000Z,Great pool facilities with hours that perfectly overlap your lunch break
19,North Toronto Memorial Community Centre,52ffa508498ec085e3f776fe,2014-02-15T17:34:00.000Z,"Free WiFi spot: CAP, password 4164872390"
20,North Toronto Memorial Community Centre,4e40880b45dd246ccb6f34b6,2011-08-09T01:06:19.000Z,Monday's Volleyball run is longer than Wednesday's!
21,North Toronto Memorial Community Centre,4c33d6f2ed37a5937a136e03,2010-07-07T01:22:58.000Z,Outdoor pool is free in the summer
26,Love to Dance,611f7791fbc2eb779aeff306,2021-08-20T09:36:17.000Z,"(goddayspiritualhome@gmail.com OR whats app +2349018437588) is the solution to solve any love/spiritual problems,"
27,Fireflow Yoga,4f6fccf4e4b0ac4cdc73373e,2012-03-26T01:57:08.000Z,"Try Shareen's Sunday classes, loved her class, will be back for sure!"
28,Fireflow Yoga,4cbcd438c7228cfa3c3f26ce,2010-10-18T23:11:52.000Z,Jonathan is nice but he's the least inspiring instructor. Suz or Kathleen will rock your yoga socks.
29,Fireflow Yoga,52224e5a11d2da59a8230770,2013-08-31T20:13:14.000Z,Abigail's a great instructor!
30,Yorkville Club Uptown Inc,4c6aa94eb56e9c741f04cb85,2010-08-17T15:22:54.000Z,"Towel and mat service, a business centre and fitness assessments four times a year! Don't even bother going to any other gym"
31,Yogaaah,4e271740cc3f94b732805866,2011-07-20T17:58:24.000Z,Show your Live Green Toronto Membership Card to receive a free trial yoga class taught by certified instructor!  Details: bit.ly/LGTOyogaaah
32,Curves,4d757a8e3c2cb60cb8648097,2011-03-08T00:38:38.000Z,Great place to meet new people
60,Moksha Yoga Uptown,588199ff15fb43210bb0cbe8,2017-01-20T05:02:55.000Z,Hot temperature classes / regular temperature classes / Registered Massage Therapy. Pilates/Restorative/Yin/Vinyasa/Jock Yoga/Hatha/Seniors Yoga/ Moksha Flow... and more
61,Moksha Yoga Uptown,51599918e4b0715466c9b0dd,2013-04-01T14:26:32.000Z,Love the newly renovated studio - overall this place has great teachers and a pretty positive vibe.
62,Moksha Yoga Uptown,4c33f02a7cc0c9b61cb0f29a,2010-07-07T03:10:34.000Z,"Incredible $ summer July/August pass is amazing - the hot yoga isn't any more hot than outside in the Summer, so i feel cooler in the heat. The yoga butt makes it worth it too!"
63,Moksha Yoga Uptown,50ae82a9e4b05090c128c3c4,2012-11-22T19:53:13.000Z,40 dollar one month unlimited yoga special for new students.. Take advantage of it.
64,Moksha Yoga Uptown,4f83bf46e4b02ab944f24e4e,2012-04-10T05:04:06.000Z,Be sure to post your ideas about the upcoming Moksha Yoga Challenge in our 2012 LYM book
65,Moksha Yoga Uptown,4f84bb9be4b063d3eb120d37,2012-04-10T23:00:43.000Z,8:30 Moksha Yoga Uptown live DJ with Erin Christine Vinyasa!
66,Moksha Yoga Uptown,4ec9359d93ad41338edffcb0,2011-11-20T17:15:09.000Z,Dont forget to bring a thick towel. Its gonna get wet
67,Moksha Yoga Uptown,4f7f6bb6e4b04ced5dbb64ce,2012-04-06T22:18:30.000Z,Sign up now for the Living Your Moksha Challenge!
68,Moksha Yoga Uptown,4cd3079d53748eec8aac782c,2010-11-04T19:21:01.000Z,Love this studio
70,Junction Fitness Hub,541109da498ec3d0fa43961a,2014-09-11T02:32:58.000Z,"Now selling top of the line supplements, ATP has some of the highest bioavailability"
76,Busy Bee Fitness Experts,5c82ebb83c858d002ca6d9b6,2019-03-08T22:24:56.000Z,"Prenatal and postnatal tips and exercises are now available on the website. Strength training is very important for moms to be, not only for the expectant mother but also for the baby."
77,Busy Bee Fitness Experts,5c91aad0286fda002c482488,2019-03-20T02:52:00.000Z,Taking an interest in seeing real progress for your overall health? It can be a daunting task getting started on a new fitness regimen. Having an in-home personal trainer can make all the difference.
78,Busy Bee Fitness Experts,5c809ded9e3b65002c2f3847,2019-03-07T04:28:29.000Z,Now offering in-home prenatal personal training. Try 2 sessions with an expert personal trainer for $90!
80,889 Yoga,599d9d6f7dc9e11e9353efcb,2017-08-23T15:21:19.000Z,"Justin Haley's classes are so dreamy. There is an extensive retail section here selling everything from local & natural skincare products, to Palo Santo, BMats, and more!"
81,889 Yoga,53e82e98498e7cd4f4361879,2014-08-11T02:46:48.000Z,"I wouldn't exactly call this place ""male-friendly"" like other yoga studios. But, the teachers were nice and the studio is popular. It's also a spa so ladies it looks like you've got your day set."
82,889 Yoga,51128b72e4b062fc940c3a3e,2013-02-06T16:57:22.000Z,"Amy's pilates class on mondays are awesome, she's a great instructor! I also liked Nicky's fundamental flow class. Massages here are great too!"
83,889 Yoga,515f22ace4b0aa271627e9f4,2013-04-05T19:14:52.000Z,Best yoga classes: Tiffany and Melissa. Hands down THE absolute best!!
84,889 Yoga,4fc45264e4b00c62acf8752a,2012-05-29T04:36:52.000Z,"Excellent facilities, not many hot yoga options"
85,889 Yoga,4dc07ef28154d42c852c5b79,2011-05-03T22:17:22.000Z,"A warm welcoming place, if not a bit pretentious and overpriced, it's worth it."
86,889 Yoga,4d08dcdb52a4a090407424f2,2010-12-15T15:20:59.000Z,Say hi to Nicky -- she's one of lululemon Yorkville's ambassadors!
87,889 Yoga,4c9aeb4b13de9521dcafdb53,2010-09-23T05:53:15.000Z,Challenge yourself with a Detox Flow (HOT!) class and sweat out those toxins!
88,889 Yoga,4b0b761070c603bb370d8fb4,2009-11-24T05:58:40.000Z,Go to 889 Yonge & relax with a Vinyasa flow class. Go early to have some tea in peace.
89,889 Yoga,4be5da8970c603bb92be9ab4,2010-05-08T21:41:29.000Z,My fave class Restorative Yoga with Kim.
102,Roland Semprie Rosedale Inc,4cb78ebef50e224b210ae0fb,2010-10-14T23:14:06.000Z,The best protein shakes in all the land!
103,York Racquets Club,513e38a2e4b0464d04306966,2013-03-11T20:03:46.000Z,Rodrigo is the BEST Pro :)
114,Royal Canadian Yacht Club,5369189411d240683c20ee74,2014-05-06T17:15:00.000Z,"Very nice facility. My dad would have loved the marine art and the models, being a model boat builder himself."
115,Studio Lagree,54cd3c37498e679b6483bc07,2015-01-31T20:33:59.000Z,I went here for the ELXR Juice Lab but am looking forward to trying out the exercise equipment. The juice is out of bounds. So many more interesting flavours than typical ones. Elxrjuicelab.com
117,Afro Latino Dance,4ede279df790c0454a15a427,2011-12-06T14:33:01.000Z,"Speak with Albena, the owner. She is very sweet and she's an amazing teacher. If you're looking for a Cuban Salsa class in T.O., this is the spot for sure."
133,eMbody Fitness,4e6bda46d1649db7995ed3eb,2011-09-10T21:44:38.000Z,The perfect gym if you're working out before/after work - you'll have the place all to yourself.  And exercise classes are included in the membership.
134,eMbody Fitness,5c746ac2ad1789002c0c05b4,2019-02-25T22:22:58.000Z,"Clean, calm and cozy gym with a modern look & feel"
135,eMbody Fitness,4d225ab0e56f6ea8f388841d,2011-01-03T23:24:32.000Z,Amazing owners. Friendliest staff. Small and personal gym. 24hr service!
136,Detox Club,4ee6b7528b81bab2859a22d0,2011-12-13T02:24:18.000Z,Marci is hands down the best gym and trainer in the area - try her abs and circuit classes
