,Neighbourhood,Postalcode,Neighborhood Latitude,Neighborhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
0,Lawrence Park,M4N,43.7280205,-79.3887901,Lili Viola Pilates Inc,31075a42d66e4d8e534d83a9,43.731336,-79.4036,Pilates Studio
1,Lawrence Park,M4N,43.7280205,-79.3887901,Essence Pilates,4e7518bc7d8b917602eaf409,43.714116,-79.400148,Pilates Studio
3,Davisville North,M4P,43.7127511,-79.3901975,Essence Pilates,4e7518bc7d8b917602eaf409,43.714116,-79.400148,Pilates Studio
4,Davisville North,M4P,43.7127511,-79.3901975,Pilates-Stott Pilates Studio Equipment Sales &Certification,4b9842fdf964a520063835e3,43.706095,-79.398446,Pilates Studio
5,Davisville North,M4P,43.7127511,-79.3901975,Striation 6,4e278ca9a809ec0663e5d6e5,43.698445,-79.394745,Pilates Studio
6,Davisville North,M4P,43.7127511,-79.3901975,Stott Pilates,6d28bac5ad31477861e67c99,43.706625,-79.398109,Pilates Studio
8,Davisville North,M4P,43.7127511,-79.3901975,Body Harmonics Pilates,e2e88849bbb44eb6dc10c9ba,43.706397,-79.401256,Pilates Studio
9,Davisville North,M4P,43.7127511,-79.3901975,North Movement Studio,191a326590db451f73ff78d6,43.707479,-79.375497,Pilates Studio
10,North Toronto West,M4R,43.7153834,-79.4056784,Essence Pilates,4e7518bc7d8b917602eaf409,43.714116,-79.400148,Pilates Studio
11,North Toronto West,M4R,43.7153834,-79.4056784,Pilates-Stott Pilates Studio Equipment Sales &Certification,4b9842fdf964a520063835e3,43.706095,-79.398446,Pilates Studio
12,North Toronto West,M4R,43.7153834,-79.4056784,Body Harmonics Pilates,4e558712d4c0c50afda8fb30,43.70353,-79.412873,Pilates Studio
13,North Toronto West,M4R,43.7153834,-79.4056784,Lili Viola Pilates Inc,31075a42d66e4d8e534d83a9,43.731336,-79.4036,Pilates Studio
15,North Toronto West,M4R,43.7153834,-79.4056784,Body Harmonics Pilates,e2e88849bbb44eb6dc10c9ba,43.706397,-79.401256,Pilates Studio
16,North Toronto West,M4R,43.7153834,-79.4056784,Stott Pilates,6d28bac5ad31477861e67c99,43.706625,-79.398109,Pilates Studio
17,North Toronto West,M4R,43.7153834,-79.4056784,Lili Viola Pilates Inc,7df0ad9e659c4b607b100bb5,43.729266,-79.418162,Pilates Studio
18,Davisville,M4S,43.7043244,-79.3887901,Pilates-Stott Pilates Studio Equipment Sales &Certification,4b9842fdf964a520063835e3,43.706095,-79.398446,Pilates Studio
19,Davisville,M4S,43.7043244,-79.3887901,Striation 6,4e278ca9a809ec0663e5d6e5,43.698445,-79.394745,Pilates Studio
20,Davisville,M4S,43.7043244,-79.3887901,Essence Pilates,4e7518bc7d8b917602eaf409,43.714116,-79.400148,Pilates Studio
21,Davisville,M4S,43.7043244,-79.3887901,Core Body Science,4e307348922e065e29f3b62c,43.704503,-79.366178,Pilates Studio
22,Davisville,M4S,43.7043244,-79.3887901,Body Harmonics Pilates,4e558712d4c0c50afda8fb30,43.70353,-79.412873,Pilates Studio
23,Davisville,M4S,43.7043244,-79.3887901,Stott Pilates,6d28bac5ad31477861e67c99,43.706625,-79.398109,Pilates Studio
24,Davisville,M4S,43.7043244,-79.3887901,Body Harmonics Pilates,e2e88849bbb44eb6dc10c9ba,43.706397,-79.401256,Pilates Studio
25,Davisville,M4S,43.7043244,-79.3887901,North Movement Studio,191a326590db451f73ff78d6,43.707479,-79.375497,Pilates Studio
27,"Moore Park, Summerhill East",M4T,43.6895743,-79.3831599,Striation 6,4e278ca9a809ec0663e5d6e5,43.698445,-79.394745,Pilates Studio
28,"Moore Park, Summerhill East",M4T,43.6895743,-79.3831599,Body Mason,55fb37b3498edd6515930db3,43.674836,-79.388127,Pilates Studio
29,"Moore Park, Summerhill East",M4T,43.6895743,-79.3831599,Eden Pilates,4f147559d5fb04999e94a665,43.674763,-79.38835,Pilates Studio
30,"Moore Park, Summerhill East",M4T,43.6895743,-79.3831599,Coyne Pilates,4bd8a06003979c745323bdd2,43.672889,-79.384777,Pilates Studio
31,"Moore Park, Summerhill East",M4T,43.6895743,-79.3831599,Ugly Duckling Movement Studio,06b630ea421942ae82614c7e,43.674174,-79.385636,Pilates Studio
32,"Moore Park, Summerhill East",M4T,43.6895743,-79.3831599,Ugly Duckling Pilates,20e05b15a08046913a6c96df,43.674122,-79.385581,Pilates Studio
33,"Moore Park, Summerhill East",M4T,43.6895743,-79.3831599,Pilates With Stav,5e3d496e14ef4c636a892e2d,43.672547,-79.389493,Pilates Studio
34,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Shas Yoga & Pilates Studio,4fe399f7e4b07215b0198bdb,43.675472,-79.403337,Pilates Studio
35,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Striation 6,4e278ca9a809ec0663e5d6e5,43.698445,-79.394745,Pilates Studio
36,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Eden Pilates,4f147559d5fb04999e94a665,43.674763,-79.38835,Pilates Studio
37,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Body Mason,55fb37b3498edd6515930db3,43.674836,-79.388127,Pilates Studio
38,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Inhabit Pilates Movement,51688c23e4b0ad6ec99fd46e,43.675467,-79.414983,Pilates Studio
39,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Pilates For Life,4b27ba32f964a520068924e3,43.671943,-79.390847,Pilates Studio
40,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Yorkville Pilates,552fcdcb498e1648d9296c98,43.669954,-79.395815,Pilates Studio
41,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Coyne Pilates,4bd8a06003979c745323bdd2,43.672889,-79.384777,Pilates Studio
42,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Pilates With Stav,5e3d496e14ef4c636a892e2d,43.672547,-79.389493,Pilates Studio
43,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Mandy Mintz,ff7e4f2da4b740f1e88d516f,43.671943,-79.390847,Pilates Studio
44,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Ugly Duckling Movement Studio,06b630ea421942ae82614c7e,43.674174,-79.385636,Pilates Studio
45,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M4V,43.6864123,-79.4000493,Ugly Duckling Pilates,20e05b15a08046913a6c96df,43.674122,-79.385581,Pilates Studio
46,Roselawn,M5N,43.7116948,-79.4169356,Body Harmonics Pilates,4e558712d4c0c50afda8fb30,43.70353,-79.412873,Pilates Studio
47,Roselawn,M5N,43.7116948,-79.4169356,Essence Pilates,4e7518bc7d8b917602eaf409,43.714116,-79.400148,Pilates Studio
48,Roselawn,M5N,43.7116948,-79.4169356,Pilates-Stott Pilates Studio Equipment Sales &Certification,4b9842fdf964a520063835e3,43.706095,-79.398446,Pilates Studio
49,Roselawn,M5N,43.7116948,-79.4169356,Body Harmonics Pilates,e2e88849bbb44eb6dc10c9ba,43.706397,-79.401256,Pilates Studio
51,Roselawn,M5N,43.7116948,-79.4169356,Stott Pilates,6d28bac5ad31477861e67c99,43.706625,-79.398109,Pilates Studio
52,Roselawn,M5N,43.7116948,-79.4169356,Lili Viola Pilates Inc,7df0ad9e659c4b607b100bb5,43.729266,-79.418162,Pilates Studio
53,Forest Hill North & West,M5P,43.6969476,-79.4113072,Body Harmonics Pilates,4e558712d4c0c50afda8fb30,43.70353,-79.412873,Pilates Studio
54,Forest Hill North & West,M5P,43.6969476,-79.4113072,Striation 6,4e278ca9a809ec0663e5d6e5,43.698445,-79.394745,Pilates Studio
55,Forest Hill North & West,M5P,43.6969476,-79.4113072,Pilates-Stott Pilates Studio Equipment Sales &Certification,4b9842fdf964a520063835e3,43.706095,-79.398446,Pilates Studio
56,Forest Hill North & West,M5P,43.6969476,-79.4113072,Body Harmonics Pilates,e2e88849bbb44eb6dc10c9ba,43.706397,-79.401256,Pilates Studio
57,Forest Hill North & West,M5P,43.6969476,-79.4113072,Stott Pilates,6d28bac5ad31477861e67c99,43.706625,-79.398109,Pilates Studio
58,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Shas Yoga & Pilates Studio,4fe399f7e4b07215b0198bdb,43.675472,-79.403337,Pilates Studio
59,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Inhabit Pilates Movement,51688c23e4b0ad6ec99fd46e,43.675467,-79.414983,Pilates Studio
60,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Yorkville Pilates,552fcdcb498e1648d9296c98,43.669954,-79.395815,Pilates Studio
61,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Pilates For Life,4b27ba32f964a520068924e3,43.671943,-79.390847,Pilates Studio
62,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Body Harmonics Pilates,4bd773ce5cf276b0be579b00,43.671702,-79.421958,Pilates Studio
63,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Eden Pilates,4f147559d5fb04999e94a665,43.674763,-79.38835,Pilates Studio
64,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Body Mason,55fb37b3498edd6515930db3,43.674836,-79.388127,Pilates Studio
65,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Coyne Pilates,4bd8a06003979c745323bdd2,43.672889,-79.384777,Pilates Studio
66,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Mandy Mintz,ff7e4f2da4b740f1e88d516f,43.671943,-79.390847,Pilates Studio
67,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Pilates With Stav,5e3d496e14ef4c636a892e2d,43.672547,-79.389493,Pilates Studio
68,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Ugly Duckling Movement Studio,06b630ea421942ae82614c7e,43.674174,-79.385636,Pilates Studio
69,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Ugly Duckling Pilates,20e05b15a08046913a6c96df,43.674122,-79.385581,Pilates Studio
70,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.4056784,Walker Dance Studios,aadffd01ad104bb8624857b6,43.666475,-79.384971,Pilates Studio
71,Rosedale,M4W,43.6795626,-79.3775294,Coyne Pilates,4bd8a06003979c745323bdd2,43.672889,-79.384777,Pilates Studio
72,Rosedale,M4W,43.6795626,-79.3775294,Body Mason,55fb37b3498edd6515930db3,43.674836,-79.388127,Pilates Studio
73,Rosedale,M4W,43.6795626,-79.3775294,Eden Pilates,4f147559d5fb04999e94a665,43.674763,-79.38835,Pilates Studio
74,Rosedale,M4W,43.6795626,-79.3775294,Pilates For Life,4b27ba32f964a520068924e3,43.671943,-79.390847,Pilates Studio
75,Rosedale,M4W,43.6795626,-79.3775294,Sagrario Pilates Studio,4aeaed64f964a520b9bc21e3,43.665463,-79.381116,Pilates Studio
76,Rosedale,M4W,43.6795626,-79.3775294,Yorkville Pilates,552fcdcb498e1648d9296c98,43.669954,-79.395815,Pilates Studio
77,Rosedale,M4W,43.6795626,-79.3775294,Ugly Duckling Movement Studio,06b630ea421942ae82614c7e,43.674174,-79.385636,Pilates Studio
78,Rosedale,M4W,43.6795626,-79.3775294,Ugly Duckling Pilates,20e05b15a08046913a6c96df,43.674122,-79.385581,Pilates Studio
79,Rosedale,M4W,43.6795626,-79.3775294,Pilates With Stav,5e3d496e14ef4c636a892e2d,43.672547,-79.389493,Pilates Studio
80,Rosedale,M4W,43.6795626,-79.3775294,Mandy Mintz,ff7e4f2da4b740f1e88d516f,43.671943,-79.390847,Pilates Studio
81,Rosedale,M4W,43.6795626,-79.3775294,Walker Dance Studios,aadffd01ad104bb8624857b6,43.666475,-79.384971,Pilates Studio
82,Rosedale,M4W,43.6795626,-79.3775294,Nourishing Vitality,ab95f03cd56b450730e5d297,43.677131,-79.353318,Pilates Studio
83,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Sagrario Pilates Studio,4aeaed64f964a520b9bc21e3,43.665463,-79.381116,Pilates Studio
85,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Coyne Pilates,4bd8a06003979c745323bdd2,43.672889,-79.384777,Pilates Studio
86,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Framewrk,599f64951755620376310885,43.658327,-79.353283,Pilates Studio
87,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Have a Nice Day Pilates,61845b587f081a47081cf050,43.654036,-79.361392,Pilates Studio
88,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Riverdale Pilates,4bda20bfc79cc92848a77de9,43.678018,-79.350372,Pilates Studio
89,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Body Mason,55fb37b3498edd6515930db3,43.674836,-79.388127,Pilates Studio
90,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Eden Pilates,4f147559d5fb04999e94a665,43.674763,-79.38835,Pilates Studio
91,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Pilates For Life,4b27ba32f964a520068924e3,43.671943,-79.390847,Pilates Studio
92,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Walker Dance Studios,aadffd01ad104bb8624857b6,43.666475,-79.384971,Pilates Studio
93,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Nourishing Vitality,ab95f03cd56b450730e5d297,43.677131,-79.353318,Pilates Studio
94,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Ugly Duckling Pilates,20e05b15a08046913a6c96df,43.674122,-79.385581,Pilates Studio
95,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Ugly Duckling Movement Studio,06b630ea421942ae82614c7e,43.674174,-79.385636,Pilates Studio
96,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Pilates Tall and Flex Classes with Leta,2145b254e26f4d891207a5c8,43.677389,-79.351301,Pilates Studio
97,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Pilates With Stav,5e3d496e14ef4c636a892e2d,43.672547,-79.389493,Pilates Studio
98,"St. James Town, Cabbagetown",M4X,43.667967,-79.3676753,Mandy Mintz,ff7e4f2da4b740f1e88d516f,43.671943,-79.390847,Pilates Studio
99,Church and Wellesley,M4Y,43.6658599,-79.3831599,Sagrario Pilates Studio,4aeaed64f964a520b9bc21e3,43.665463,-79.381116,Pilates Studio
100,Church and Wellesley,M4Y,43.6658599,-79.3831599,Coyne Pilates,4bd8a06003979c745323bdd2,43.672889,-79.384777,Pilates Studio
101,Church and Wellesley,M4Y,43.6658599,-79.3831599,Pilates For Life,4b27ba32f964a520068924e3,43.671943,-79.390847,Pilates Studio
102,Church and Wellesley,M4Y,43.6658599,-79.3831599,Eden Pilates,4f147559d5fb04999e94a665,43.674763,-79.38835,Pilates Studio
103,Church and Wellesley,M4Y,43.6658599,-79.3831599,Body Mason,55fb37b3498edd6515930db3,43.674836,-79.388127,Pilates Studio
104,Church and Wellesley,M4Y,43.6658599,-79.3831599,Yorkville Pilates,552fcdcb498e1648d9296c98,43.669954,-79.395815,Pilates Studio
105,Church and Wellesley,M4Y,43.6658599,-79.3831599,Shas Yoga & Pilates Studio,4fe399f7e4b07215b0198bdb,43.675472,-79.403337,Pilates Studio
106,Church and Wellesley,M4Y,43.6658599,-79.3831599,Walker Dance Studios,aadffd01ad104bb8624857b6,43.666475,-79.384971,Pilates Studio
