Postalcode,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-85,85_plus,Avg Income,Population,Borough,Neighbourhood,Latitude,Longitude,Venue,High Education Count,Fitness workforce,target_women_population,market_cap
M4N,490.0,530.0,420.0,350.0,450.0,410.0,525.0,565.0,675.0,600.0,540.0,495.0,475.0,400.0,285.0,580.0,129000.0,16058.0,Central Toronto,Lawrence Park,43.7280205,-79.3887901,5.0,8035.0,100.0,6770.0,873330000.0
M4P,420.0,440.0,810.0,1715.0,1785.0,1295.0,985.0,890.0,795.0,760.0,650.0,635.0,540.0,435.0,290.0,235.0,54950.0,25057.0,Central Toronto,Davisville North,43.7127511,-79.3901975,11.0,13115.0,220.0,11820.0,649509000.0
M4R,340.0,385.0,335.0,445.0,510.0,410.0,445.0,495.0,475.0,445.0,365.0,350.0,305.0,220.0,110.0,120.0,85200.0,11909.0,Central Toronto,North Toronto West,43.7153834,-79.4056784,9.0,6335.0,60.0,5030.0,428556000.0
M4S,555.0,565.0,780.0,1755.0,2030.0,1520.0,1210.0,1045.0,1020.0,950.0,810.0,760.0,650.0,505.0,345.0,635.0,61050.0,30754.0,Central Toronto,Davisville,43.7043244,-79.3887901,10.0,16940.0,210.0,14015.0,855615750.0
M4T,240.0,205.0,260.0,315.0,355.0,400.0,370.0,340.0,340.0,415.0,410.0,425.0,390.0,285.0,205.0,215.0,105100.0,10332.0,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599,17.0,5880.0,65.0,4725.0,496597500.0
M4V,355.0,335.0,465.0,895.0,1025.0,770.0,585.0,610.0,650.0,670.0,650.0,680.0,690.0,535.0,430.0,510.0,106200.0,19273.0,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493,17.0,10760.0,100.0,9165.0,973323000.0
M5N,500.0,555.0,460.0,455.0,455.0,560.0,585.0,570.0,645.0,580.0,595.0,565.0,415.0,260.0,190.0,285.0,81200.0,16154.0,Central Toronto,Roselawn,43.7116948,-79.4169356,9.0,7380.0,90.0,6620.0,537544000.0
M5P,450.0,535.0,565.0,875.0,865.0,805.0,645.0,690.0,700.0,640.0,640.0,665.0,745.0,520.0,320.0,405.0,84700.0,19791.0,Central Toronto,Forest Hill North & West,43.6969476,-79.4113072,8.0,10595.0,185.0,9080.0,769076000.0
M5R,300.0,380.0,1015.0,1560.0,1455.0,1000.0,765.0,750.0,725.0,870.0,850.0,885.0,860.0,620.0,485.0,580.0,85900.0,26197.0,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784,16.0,14920.0,165.0,12420.0,1066878000.0
M4W,265.0,350.0,625.0,710.0,680.0,510.0,385.0,415.0,520.0,580.0,530.0,570.0,495.0,440.0,260.0,250.0,115500.0,15296.0,Downtown Toronto,Rosedale,43.6795626,-79.3775294,15.0,9360.0,65.0,6970.0,805035000.0
M4X,360.0,375.0,635.0,840.0,935.0,800.0,670.0,590.0,645.0,660.0,600.0,485.0,425.0,275.0,165.0,145.0,41480.0,19896.0,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,19.0,7175.0,75.0,7870.0,326447600.0
M4Y,170.0,550.0,2890.0,3295.0,2435.0,1340.0,820.0,660.0,720.0,695.0,605.0,540.0,430.0,345.0,245.0,275.0,47440.0,36319.0,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599,18.0,20815.0,180.0,15295.0,725594800.0
M5A,690.0,800.0,1770.0,3130.0,3325.0,2410.0,1685.0,1555.0,1370.0,1350.0,1095.0,985.0,780.0,515.0,340.0,300.0,51550.0,48978.0,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,7.0,21690.0,355.0,20610.0,1062445500.0
M5B,100.0,275.0,1595.0,1705.0,1175.0,630.0,385.0,345.0,355.0,360.0,320.0,250.0,215.0,145.0,95.0,85.0,44800.0,17422.0,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,19.0,9925.0,100.0,7660.0,343168000.0
M5C,25.0,20.0,90.0,275.0,255.0,170.0,105.0,100.0,80.0,90.0,100.0,65.0,50.0,35.0,15.0,10.0,60450.0,3149.0,Downtown Toronto,St. James Town,43.6514939,-79.3754179,11.0,1770.0,20.0,1440.0,87048000.0
M5E,65.0,80.0,395.0,1235.0,1030.0,605.0,335.0,275.0,240.0,300.0,290.0,235.0,210.0,170.0,115.0,105.0,70300.0,11779.0,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,9.0,8005.0,55.0,5540.0,389462000.0
M5G,70.0,120.0,750.0,1085.0,875.0,470.0,230.0,195.0,205.0,200.0,165.0,140.0,110.0,55.0,50.0,35.0,48360.0,9751.0,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,18.0,6220.0,25.0,4565.0,220763400.0
M5H,20.0,15.0,240.0,390.0,275.0,150.0,75.0,65.0,50.0,70.0,45.0,35.0,30.0,15.0,10.0,5.0,73900.0,3248.0,Downtown Toronto,"Richmond, Adelaide, King",43.6505712,-79.3845675,13.0,2270.0,10.0,1455.0,107524500.0
M5J,100.0,105.0,675.0,1720.0,1470.0,815.0,510.0,360.0,370.0,380.0,400.0,310.0,315.0,205.0,120.0,130.0,63650.0,16879.0,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523,6.0,11410.0,135.0,7780.0,495197000.0
M5S,120.0,340.0,1550.0,1445.0,975.0,600.0,420.0,315.0,400.0,410.0,335.0,360.0,400.0,300.0,250.0,310.0,55600.0,17074.0,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,20.0,9500.0,55.0,8070.0,448692000.0
M5T,185.0,270.0,1080.0,1305.0,970.0,695.0,485.0,440.0,480.0,540.0,520.0,430.0,380.0,285.0,240.0,410.0,42280.0,17903.0,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,14.0,7275.0,80.0,8260.0,349232800.0
M5V,320.0,355.0,2765.0,7610.0,6475.0,3440.0,1910.0,1345.0,1010.0,955.0,745.0,550.0,425.0,240.0,125.0,120.0,62700.0,59912.0,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,5.0,39245.0,540.0,27715.0,1737730500.0
M6G,620.0,550.0,955.0,1575.0,1595.0,1320.0,960.0,985.0,1025.0,960.0,825.0,755.0,680.0,570.0,495.0,905.0,55700.0,30600.0,Downtown Toronto,Christie,43.669542,-79.4225637,6.0,13140.0,165.0,13605.0,757798500.0
M4E,765.0,740.0,560.0,595.0,825.0,1045.0,1050.0,1030.0,1080.0,1025.0,895.0,810.0,610.0,385.0,205.0,210.0,69200.0,25473.0,East Toronto,The Beaches,43.6763574,-79.2930312,2.0,11150.0,255.0,10325.0,714490000.0
M4K,710.0,665.0,705.0,970.0,1165.0,1285.0,1300.0,1190.0,1170.0,1190.0,1030.0,960.0,845.0,550.0,405.0,395.0,57700.0,30913.0,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,6.0,12900.0,165.0,13160.0,759332000.0
M4L,925.0,700.0,630.0,865.0,1390.0,1505.0,1430.0,1280.0,1240.0,1210.0,1015.0,875.0,595.0,375.0,240.0,280.0,60050.0,32218.0,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.3155716,3.0,12225.0,260.0,12930.0,776446500.0
M4M,520.0,410.0,540.0,1130.0,1475.0,1275.0,1095.0,985.0,860.0,790.0,645.0,550.0,420.0,225.0,195.0,280.0,57650.0,25052.0,East Toronto,Studio District,43.6595255,-79.340923,7.0,10395.0,170.0,10465.0,603307250.0
M4B,510.0,465.0,520.0,600.0,620.0,625.0,710.0,640.0,760.0,725.0,720.0,575.0,410.0,320.0,240.0,335.0,45120.0,18612.0,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,1.0,4395.0,95.0,7800.0,351936000.0
M4C,1140.0,1020.0,1045.0,1415.0,1920.0,2095.0,2055.0,1820.0,1570.0,1660.0,1500.0,1305.0,905.0,565.0,440.0,560.0,46040.0,46440.0,East York,Woodbine Heights,43.6953439,-79.3183887,2.0,15735.0,250.0,18855.0,868084200.0
M4G,645.0,635.0,530.0,390.0,555.0,590.0,700.0,770.0,895.0,785.0,745.0,595.0,510.0,405.0,235.0,360.0,87500.0,19598.0,East York,Leaside,43.7090604,-79.3634517,3.0,9715.0,150.0,8065.0,705687500.0
M4H,750.0,560.0,540.0,610.0,735.0,740.0,630.0,585.0,490.0,425.0,405.0,360.0,300.0,210.0,190.0,350.0,31240.0,18698.0,East York,Thorncliffe Park,43.7053689,-79.3493719,4.0,4280.0,40.0,6570.0,205246800.0
M4J,950.0,785.0,800.0,975.0,1260.0,1445.0,1545.0,1355.0,1325.0,1255.0,1175.0,1005.0,865.0,550.0,435.0,450.0,52950.0,35128.0,East York East Toronto,The Danforth East,43.685347,-79.3381065,6.0,12370.0,210.0,14440.0,764598000.0
M8V,730.0,610.0,1150.0,2205.0,2700.0,2110.0,1550.0,1430.0,1395.0,1600.0,1465.0,1345.0,1080.0,695.0,525.0,465.0,51550.0,44144.0,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207,1.0,17070.0,360.0,19715.0,1016308250.0
