Postalcode,Avg Income,Population,Borough,Neighbourhood,Latitude,Longitude,Venue,High Education Count,Fitness workforce
M4N,129000.0,16058.0,Central Toronto,Lawrence Park,43.7280205,-79.3887901,5.0,8035.0,100.0
M4W,115500.0,15296.0,Downtown Toronto,Rosedale,43.6795626,-79.3775294,15.0,9360.0,65.0
M4V,106200.0,19273.0,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493,17.0,10760.0,100.0
M4T,105100.0,10332.0,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599,17.0,5880.0,65.0
M8X,93900.0,10624.0,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436,2.0,5475.0,80.0
M4G,87500.0,19598.0,East York,Leaside,43.7090604,-79.3634517,3.0,9715.0,150.0
M5R,85900.0,26197.0,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784,16.0,14920.0,165.0
M5M,85700.0,25495.0,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,4.0,12470.0,205.0
M4R,85200.0,11909.0,Central Toronto,North Toronto West,43.7153834,-79.4056784,9.0,6335.0,60.0
M5P,84700.0,19791.0,Central Toronto,Forest Hill North & West,43.6969476,-79.4113072,8.0,10595.0,185.0
M2L,81400.0,11274.0,North York,"York Mills, Silver Hills",43.7574902,-79.3747141,1.0,5250.0,55.0
M5N,81200.0,16154.0,Central Toronto,Roselawn,43.7116948,-79.4169356,9.0,7380.0,90.0
M3B,74600.0,12880.0,North York,Don Mills) Nort,43.7459058,-79.352188,,6135.0,85.0
M5H,73900.0,3248.0,Downtown Toronto,"Richmond, Adelaide, King",43.6505712,-79.3845675,13.0,2270.0,10.0
M2P,72700.0,7546.0,North York,York Mills West,43.7527583,-79.4000493,2.0,3810.0,20.0
M5E,70300.0,11779.0,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,9.0,8005.0,55.0
M4E,69200.0,25473.0,East Toronto,The Beaches,43.6763574,-79.2930312,2.0,11150.0,255.0
M6S,65800.0,34029.0,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,4.0,15230.0,195.0
M6R,64200.0,19349.0,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,5.0,9135.0,95.0
M5J,63650.0,16879.0,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523,6.0,11410.0,135.0
M5V,62700.0,59912.0,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,5.0,39245.0,540.0
M9A,61050.0,36642.0,Etobicoke,Islington Avenue,43.6678556,-79.5322424,,14425.0,235.0
M4S,61050.0,30754.0,Central Toronto,Davisville,43.7043244,-79.3887901,10.0,16940.0,210.0
M5C,60450.0,3149.0,Downtown Toronto,St. James Town,43.6514939,-79.3754179,11.0,1770.0,20.0
M4L,60050.0,32218.0,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.3155716,3.0,12225.0,260.0
M6C,59800.0,23997.0,York,Humewood-Cedarvale,43.6937813,-79.4281914,2.0,10060.0,155.0
M8Z,57800.0,19312.0,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994,1.0,6870.0,140.0
M4K,57700.0,30913.0,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,6.0,12900.0,165.0
M4M,57650.0,25052.0,East Toronto,Studio District,43.6595255,-79.340923,7.0,10395.0,170.0
M8Y,56300.0,21986.0,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091,2.0,8435.0,185.0
M6J,55700.0,32111.0,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497,8.0,14095.0,135.0
M6G,55700.0,30600.0,Downtown Toronto,Christie,43.669542,-79.4225637,6.0,13140.0,165.0
